#GR700XD order  2:                1.30000  7.586031e-05  1.991891e+04  2.680489e-15  1.511054e-03
#                              Wavelength    Response
                                  0.63523  3.006399e+03
                                  0.63568  2.636296e+03
                                  0.63613  2.615226e+03
                                  0.63659  2.594152e+03
                                  0.63704  2.573204e+03
                                  0.63749  2.552357e+03
                                  0.63795  2.531848e+03
                                  0.63840  2.511963e+03
                                  0.63886  2.492421e+03
                                  0.63931  2.473151e+03
                                  0.63976  2.454122e+03
                                  0.64022  2.435312e+03
                                  0.64067  2.416720e+03
                                  0.64112  2.398337e+03
                                  0.64158  2.380162e+03
                                  0.64203  2.362212e+03
                                  0.64248  2.344487e+03
                                  0.64294  2.326981e+03
                                  0.64339  2.309696e+03
                                  0.64384  2.292556e+03
                                  0.64430  2.275555e+03
                                  0.64475  2.258625e+03
                                  0.64521  2.241956e+03
                                  0.64566  2.225531e+03
                                  0.64611  2.209552e+03
                                  0.64657  2.194199e+03
                                  0.64702  2.179310e+03
                                  0.64747  2.164816e+03
                                  0.64793  2.150632e+03
                                  0.64838  2.136727e+03
                                  0.64883  2.123086e+03
                                  0.64929  2.109710e+03
                                  0.64974  2.096557e+03
                                  0.65019  2.083694e+03
                                  0.65065  2.071435e+03
                                  0.65110  2.059360e+03
                                  0.65156  2.047411e+03
                                  0.65201  2.035593e+03
                                  0.65246  2.024081e+03
                                  0.65292  2.012693e+03
                                  0.65337  2.001330e+03
                                  0.65382  1.990300e+03
                                  0.65428  1.979416e+03
                                  0.65473  1.968409e+03
                                  0.65518  1.957976e+03
                                  0.65564  1.947749e+03
                                  0.65609  1.936719e+03
                                  0.65654  1.926852e+03
                                  0.65700  1.916155e+03
                                  0.65745  1.906508e+03
                                  0.65791  1.896786e+03
                                  0.65836  1.886624e+03
                                  0.65881  1.876784e+03
                                  0.65927  1.866939e+03
                                  0.65972  1.856980e+03
                                  0.66017  1.847661e+03
                                  0.66063  1.838909e+03
                                  0.66108  1.830301e+03
                                  0.66153  1.821860e+03
                                  0.66199  1.813582e+03
                                  0.66244  1.805701e+03
                                  0.66289  1.797969e+03
                                  0.66335  1.790372e+03
                                  0.66380  1.782947e+03
                                  0.66426  1.775754e+03
                                  0.66471  1.768689e+03
                                  0.66516  1.761675e+03
                                  0.66562  1.754692e+03
                                  0.66607  1.747698e+03
                                  0.66652  1.740628e+03
                                  0.66698  1.733637e+03
                                  0.66743  1.726731e+03
                                  0.66788  1.719926e+03
                                  0.66834  1.713596e+03
                                  0.66879  1.707410e+03
                                  0.66924  1.701329e+03
                                  0.66970  1.695371e+03
                                  0.67015  1.689545e+03
                                  0.67061  1.683863e+03
                                  0.67106  1.678200e+03
                                  0.67151  1.672548e+03
                                  0.67197  1.666903e+03
                                  0.67242  1.661128e+03
                                  0.67287  1.655395e+03
                                  0.67333  1.649718e+03
                                  0.67378  1.644123e+03
                                  0.67423  1.638755e+03
                                  0.67469  1.633587e+03
                                  0.67514  1.628576e+03
                                  0.67559  1.623655e+03
                                  0.67605  1.618820e+03
                                  0.67650  1.614081e+03
                                  0.67696  1.609372e+03
                                  0.67741  1.604690e+03
                                  0.67786  1.600041e+03
                                  0.67832  1.595382e+03
                                  0.67877  1.590734e+03
                                  0.67922  1.586254e+03
                                  0.67968  1.581926e+03
                                  0.68013  1.577773e+03
                                  0.68058  1.574378e+03
                                  0.68104  1.570993e+03
                                  0.68149  1.567616e+03
                                  0.68194  1.564234e+03
                                  0.68240  1.560817e+03
                                  0.68285  1.557372e+03
                                  0.68331  1.553898e+03
                                  0.68376  1.550439e+03
                                  0.68421  1.546999e+03
                                  0.68467  1.543636e+03
                                  0.68512  1.540370e+03
                                  0.68557  1.537195e+03
                                  0.68603  1.534219e+03
                                  0.68648  1.531375e+03
                                  0.68693  1.528668e+03
                                  0.68739  1.526057e+03
                                  0.68784  1.523426e+03
                                  0.68829  1.520767e+03
                                  0.68875  1.518047e+03
                                  0.68920  1.515317e+03
                                  0.68966  1.512576e+03
                                  0.69011  1.510273e+03
                                  0.69056  1.508165e+03
                                  0.69102  1.506301e+03
                                  0.69147  1.504582e+03
                                  0.69192  1.502878e+03
                                  0.69238  1.501149e+03
                                  0.69283  1.499448e+03
                                  0.69328  1.497794e+03
                                  0.69374  1.496259e+03
                                  0.69419  1.494789e+03
                                  0.69464  1.493355e+03
                                  0.69510  1.491966e+03
                                  0.69555  1.490615e+03
                                  0.69601  1.489300e+03
                                  0.69646  1.488131e+03
                                  0.69691  1.486977e+03
                                  0.69737  1.485831e+03
                                  0.69782  1.484708e+03
                                  0.69827  1.483633e+03
                                  0.69873  1.482606e+03
                                  0.69918  1.481626e+03
                                  0.69963  1.480641e+03
                                  0.70009  1.479650e+03
                                  0.70054  1.478553e+03
                                  0.70099  1.477447e+03
                                  0.70145  1.476366e+03
                                  0.70190  1.475337e+03
                                  0.70236  1.474341e+03
                                  0.70281  1.473425e+03
                                  0.70326  1.472547e+03
                                  0.70372  1.471693e+03
                                  0.70417  1.470884e+03
                                  0.70462  1.470110e+03
                                  0.70508  1.469362e+03
                                  0.70553  1.468812e+03
                                  0.70598  1.468370e+03
                                  0.70644  1.468068e+03
                                  0.70689  1.467896e+03
                                  0.70734  1.467770e+03
                                  0.70780  1.467705e+03
                                  0.70825  1.467490e+03
                                  0.70871  1.467224e+03
                                  0.70916  1.466955e+03
                                  0.70961  1.466724e+03
                                  0.71007  1.466545e+03
                                  0.71052  1.466885e+03
                                  0.71097  1.467241e+03
                                  0.71143  1.467613e+03
                                  0.71188  1.467955e+03
                                  0.71233  1.468236e+03
                                  0.71279  1.468408e+03
                                  0.71324  1.468586e+03
                                  0.71369  1.468810e+03
                                  0.71415  1.469229e+03
                                  0.71460  1.469832e+03
                                  0.71506  1.470550e+03
                                  0.71551  1.471313e+03
                                  0.71596  1.471995e+03
                                  0.71642  1.472582e+03
                                  0.71687  1.473106e+03
                                  0.71732  1.473634e+03
                                  0.71778  1.474199e+03
                                  0.71823  1.475047e+03
                                  0.71868  1.476025e+03
                                  0.71914  1.477106e+03
                                  0.71959  1.478226e+03
                                  0.72004  1.479381e+03
                                  0.72050  1.480656e+03
                                  0.72095  1.481958e+03
                                  0.72141  1.483301e+03
                                  0.72186  1.484681e+03
                                  0.72231  1.486081e+03
                                  0.72277  1.487521e+03
                                  0.72322  1.489007e+03
                                  0.72367  1.490526e+03
                                  0.72413  1.492098e+03
                                  0.72458  1.493696e+03
                                  0.72503  1.495337e+03
                                  0.72549  1.497070e+03
                                  0.72594  1.498832e+03
                                  0.72639  1.500602e+03
                                  0.72685  1.502400e+03
                                  0.72730  1.504220e+03
                                  0.72776  1.506106e+03
                                  0.72821  1.508038e+03
                                  0.72866  1.510051e+03
                                  0.72912  1.512149e+03
                                  0.72957  1.514288e+03
                                  0.73002  1.516487e+03
                                  0.73048  1.518705e+03
                                  0.73093  1.520942e+03
                                  0.73138  1.523270e+03
                                  0.73184  1.525616e+03
                                  0.73229  1.527982e+03
                                  0.73274  1.530386e+03
                                  0.73320  1.532816e+03
                                  0.73365  1.535368e+03
                                  0.73411  1.537958e+03
                                  0.73456  1.540597e+03
                                  0.73501  1.543268e+03
                                  0.73547  1.545957e+03
                                  0.73592  1.548680e+03
                                  0.73637  1.551449e+03
                                  0.73683  1.554258e+03
                                  0.73728  1.557101e+03
                                  0.73773  1.559966e+03
                                  0.73819  1.562868e+03
                                  0.73864  1.565813e+03
                                  0.73909  1.568788e+03
                                  0.73955  1.571871e+03
                                  0.74000  1.575012e+03
                                  0.74046  1.578234e+03
                                  0.74091  1.581499e+03
                                  0.74136  1.584786e+03
                                  0.74182  1.588091e+03
                                  0.74227  1.591447e+03
                                  0.74272  1.594855e+03
                                  0.74318  1.598296e+03
                                  0.74363  1.601764e+03
                                  0.74408  1.605283e+03
                                  0.74454  1.608852e+03
                                  0.74499  1.612464e+03
                                  0.74544  1.616148e+03
                                  0.74590  1.619840e+03
                                  0.74635  1.623514e+03
                                  0.74681  1.627233e+03
                                  0.74726  1.630984e+03
                                  0.74771  1.634866e+03
                                  0.74817  1.638755e+03
                                  0.74862  1.642638e+03
                                  0.74907  1.646547e+03
                                  0.74953  1.650478e+03
                                  0.74998  1.654546e+03
                                  0.75043  1.658708e+03
                                  0.75089  1.663022e+03
                                  0.75134  1.667375e+03
                                  0.75179  1.671760e+03
                                  0.75225  1.676193e+03
                                  0.75270  1.680655e+03
                                  0.75316  1.685152e+03
                                  0.75361  1.689684e+03
                                  0.75406  1.694250e+03
                                  0.75452  1.698925e+03
                                  0.75497  1.703634e+03
                                  0.75542  1.708386e+03
                                  0.75588  1.713162e+03
                                  0.75633  1.717963e+03
                                  0.75678  1.722782e+03
                                  0.75724  1.727671e+03
                                  0.75769  1.732654e+03
                                  0.75814  1.737827e+03
                                  0.75860  1.743104e+03
                                  0.75905  1.748558e+03
                                  0.75951  1.754063e+03
                                  0.75996  1.759632e+03
                                  0.76041  1.765023e+03
                                  0.76087  1.770347e+03
